date,region,district,market,commodity,unit,pricetype,TSh,USD
2012-02-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,167115.0,106.6941
2012-02-15,Arusha,Arusha Urban,Arusha Urban,Beans,100 KG,Wholesale,186154.0,118.8495
2012-03-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,45278.0,28.779
2012-03-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,183889.0,116.8811
2012-03-15,Arusha,Arusha Urban,Arusha Urban,Beans,100 KG,Wholesale,140000.0,88.9849
2012-04-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,51727.0,32.9115
2012-04-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,194091.0,123.4911
2012-04-15,Arusha,Arusha Urban,Arusha Urban,Beans,100 KG,Wholesale,128273.0,81.6142
2012-05-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,58885.0,37.873
2012-05-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,183462.0,117.9972
2012-05-15,Arusha,Arusha Urban,Arusha Urban,Beans,100 KG,Wholesale,178346.0,114.7067
2012-06-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,51000.0,32.827
2012-06-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,161500.0,103.9521
2012-06-15,Arusha,Arusha Urban,Arusha Urban,Beans,100 KG,Wholesale,133500.0,85.9295
2012-07-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,54000.0,34.3564
2012-07-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,145577.0,92.6204
2012-07-15,Arusha,Arusha Urban,Arusha Urban,Beans,100 KG,Wholesale,116154.0,73.9006
2012-08-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,53350.0,34.3153
2012-08-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,148000.0,95.1952
2012-08-15,Arusha,Arusha Urban,Arusha Urban,Beans,100 KG,Wholesale,103750.0,66.7331
2012-09-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,54000.0,34.4337
2012-09-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,153750.0,98.0405
2012-09-15,Arusha,Arusha Urban,Arusha Urban,Beans,100 KG,Wholesale,105625.0,67.353
2012-10-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,56700.0,36.4912
2012-10-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,160000.0,102.9734
2012-10-15,Arusha,Arusha Urban,Arusha Urban,Beans,100 KG,Wholesale,114000.0,73.3685
2012-11-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,61833.0,39.329
2012-11-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,163333.0,103.8882
2012-11-15,Arusha,Arusha Urban,Arusha Urban,Beans,100 KG,Wholesale,122000.0,77.5983
2012-12-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,67944.44,43.2355
2012-12-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,172500.0,109.768
2012-12-15,Arusha,Arusha Urban,Arusha Urban,Beans,100 KG,Wholesale,116111.11,73.8857
2013-01-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,70050.0,44.4903
2013-01-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,186500.0,118.4503
2013-01-15,Arusha,Arusha Urban,Arusha Urban,Beans,100 KG,Wholesale,126250.0,80.1842
2013-02-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,71409.09,44.8803
2013-02-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,170909.09,107.4157
2013-02-15,Arusha,Arusha Urban,Arusha Urban,Beans,100 KG,Wholesale,96818.18,60.8498
2013-03-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,69750.0,43.8156
2013-03-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,173750.0,109.1463
2013-03-15,Arusha,Arusha Urban,Arusha Urban,Beans,100 KG,Wholesale,105416.5,66.2206
2013-04-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,67916.75,42.9309
2013-04-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,167500.0,105.8786
2013-04-15,Arusha,Arusha Urban,Arusha Urban,Beans,100 KG,Wholesale,120520.75,76.1825
2013-05-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,56333.4,35.3232
2013-05-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,158000.0,99.072
2013-05-15,Arusha,Arusha Urban,Arusha Urban,Beans,100 KG,Wholesale,117633.2,73.7605
2013-06-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,47194.33,29.4778
2013-06-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,133889.0,83.6276
2013-06-15,Arusha,Arusha Urban,Arusha Urban,Beans,100 KG,Wholesale,112222.33,70.0945
2013-07-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,49750.25,31.4915
2013-07-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,130000.0,82.2889
2013-07-15,Arusha,Arusha Urban,Arusha Urban,Beans,100 KG,Wholesale,110208.5,69.761
2013-08-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,51222.17,32.4973
2013-08-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,134166.67,85.1203
2013-08-15,Arusha,Arusha Urban,Arusha Urban,Beans,100 KG,Wholesale,110513.83,70.1141
2013-09-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,50791.75,31.589
2013-09-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,130000.0,80.8511
2013-09-15,Arusha,Arusha Urban,Arusha Urban,Beans,100 KG,Wholesale,113958.25,70.8742
